City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,velingara,13.15,-14.1167,89.83,19,21,5.86,SN,1681949062
202,asyut,27.181,31.1837,78.98,51,75,18.01,EG,1681949063
203,marawi,7.9986,124.2928,76.86,78,58,0.27,PH,1681949063
204,inverell,-29.7833,151.1167,70.66,54,50,1.99,AU,1681949063
205,tarko-sale,64.9225,77.785,2.84,100,91,2.98,RU,1681949064
206,inhambane,-23.865,35.3833,67.64,82,0,4.9,MZ,1681949064
207,ambon,-3.6954,128.1814,78.94,94,40,4.61,ID,1681949065
208,marsa matruh,31.3525,27.2453,61.0,67,40,6.91,EG,1681949065
209,ancud,-41.8697,-73.8203,54.79,96,92,4.32,CL,1681948968
210,namatanai,-3.6667,152.4333,84.4,68,32,2.66,PG,1681949065
211,weiser,44.251,-116.9693,48.4,56,94,4.05,US,1681949066
212,outlook,51.5001,-107.0513,28.24,95,100,17.09,CA,1681949066
213,kodinsk,58.6881,99.1844,18.97,89,100,7.0,RU,1681949067
214,milkovo,54.7167,158.6167,34.84,88,100,6.29,RU,1681949067
215,ilebo,-4.3167,20.5833,73.36,94,89,0.78,CD,1681949067
216,hoima,1.4356,31.3436,63.91,95,81,3.18,UG,1681949068
217,tazovskiy,67.4667,78.7,5.76,99,93,4.74,RU,1681949068
218,tromso,69.6496,18.957,42.82,93,100,17.27,NO,1681949068
219,walvis bay,-22.9575,14.5053,65.37,68,2,15.88,NA,1681949068
220,nyurba,63.2842,118.3319,21.83,86,83,5.12,RU,1681949069
221,te anau,-45.4167,167.7167,61.48,62,69,4.07,NZ,1681949069
222,batavia,41.85,-88.3126,70.79,62,100,20.71,US,1681949069
223,newport,51.5877,-2.9984,47.44,69,83,11.43,GB,1681948816
224,tuktoyaktuk,69.4541,-133.0374,17.6,86,100,10.36,CA,1681949070
225,altamont,42.2068,-121.7372,44.44,47,75,16.11,US,1681949070
226,tutoia,-2.7619,-42.2744,78.12,84,100,1.7,BR,1681949070
227,tanah merah,5.8,102.15,78.62,96,100,2.19,MY,1681949070
228,ryotsu,38.0833,138.4333,61.41,71,2,8.39,JP,1681949070
229,bolkhov,53.4433,36.0044,44.98,69,92,8.19,RU,1681949071
230,candido mendes,-1.4467,-45.7167,75.22,95,100,2.42,BR,1681948881
231,starozhilovo,54.2254,39.916,45.93,69,100,6.91,RU,1681949071
232,ilinskiy,55.619,38.1182,44.26,52,0,7.0,RU,1681949072
233,hasaki,35.7333,140.8333,68.22,88,100,4.29,JP,1681949072
234,christchurch,-43.5333,172.6333,63.32,79,100,13.8,NZ,1681949011
235,coquimbo,-29.9533,-71.3436,58.73,82,0,6.91,CL,1681949035
236,derzhavinsk,51.1,66.3167,32.05,87,53,8.14,KZ,1681949072
237,kruisfontein,-34.0033,24.7314,66.88,67,98,5.37,ZA,1681949073
238,klaksvik,62.2266,-6.589,43.72,80,4,10.94,FO,1681949073
239,honningsvag,70.9821,25.9704,38.95,93,100,23.02,NO,1681949073
240,baruun-urt,46.6806,113.2792,32.67,21,2,18.07,MN,1681949074
241,tangshan,39.6333,118.1833,65.26,35,100,18.77,CN,1681949074
242,burnie,-41.0667,145.9167,58.95,87,96,12.15,AU,1681949075
243,xingcheng,40.6167,120.7167,54.52,48,100,23.09,CN,1681949075
244,mnogovershinnyy,53.9353,139.9242,31.35,59,20,3.04,RU,1681949075
245,nemuro,43.3236,145.575,39.92,87,65,6.58,JP,1681948842
246,krk,45.0258,14.5731,57.47,69,28,9.51,HR,1681949075
247,bubaque,11.2833,-15.8333,78.53,72,27,19.71,GW,1681949075
248,gondanglegi,-7.7479,112.0132,78.58,88,76,8.39,ID,1681949076
249,vila velha,-20.3297,-40.2925,80.55,88,0,11.5,BR,1681948786
250,yeppoon,-23.1333,150.7333,76.78,61,11,13.73,AU,1681949076
251,longyearbyen,78.2186,15.6401,12.04,79,20,4.61,SJ,1681949076
252,pasni,25.2631,63.471,78.12,64,59,10.42,PK,1681949076
253,ibimirim,-8.5406,-37.6903,79.27,62,99,3.47,BR,1681949076
254,lompoc,34.6391,-120.4579,72.79,64,20,25.01,US,1681948975
255,port hardy,50.6996,-127.4199,42.98,93,75,11.5,CA,1681949077
256,matagami,49.7502,-77.6328,23.11,80,100,8.05,CA,1681948960
257,kahului,20.8947,-156.47,75.97,95,100,13.8,US,1681949077
258,bekes,46.75,21.0,45.99,79,28,7.29,HU,1681949077
259,port blair,11.6667,92.75,81.37,76,30,7.11,IN,1681949077
260,clyde river,70.4692,-68.5914,5.23,85,0,4.61,CA,1681949078
261,mulege,26.8833,-111.9833,78.17,34,100,6.51,MX,1681949078
262,mariestad,58.7097,13.8237,34.5,81,0,4.65,SE,1681949078
263,aden,12.7794,45.0367,81.73,75,4,16.22,YE,1681949079
264,kavaratti,10.5669,72.642,83.59,71,14,7.7,IN,1681949079
265,luocheng,29.3848,104.0286,67.8,97,100,3.69,CN,1681949079
266,egvekinot,66.3167,-179.1667,21.65,90,96,4.9,RU,1681949079
267,ulladulla,-35.35,150.4667,62.76,72,94,9.66,AU,1681949080
268,santa rosa,14.3122,121.1114,87.12,81,2,4.32,PH,1681949080
269,carutapera,-1.195,-46.02,76.35,92,100,3.65,BR,1681949080
270,taoudenni,22.6783,-3.9836,85.21,17,54,10.96,ML,1681949081
271,eureka,40.8021,-124.1637,57.2,63,41,7.0,US,1681948848
272,ovre ardal,61.3167,7.8,41.88,63,27,4.36,NO,1681949081
273,yumen,40.2833,97.2,37.96,14,100,13.58,CN,1681949082
274,lavrentiya,65.5833,-171.0,27.84,84,95,5.68,RU,1681949082
275,aklavik,68.2191,-135.0107,15.8,67,75,6.91,CA,1681949082
276,hirara,24.8,125.2833,79.07,89,75,20.71,JP,1681949082
277,hammerfest,70.6634,23.6821,41.45,93,75,16.11,NO,1681949082
278,mount isa,-20.7333,139.5,74.97,31,63,13.8,AU,1681949083
279,lakatoro,-16.0999,167.4164,83.07,71,74,5.46,VU,1681949083
280,palatka,29.6486,-81.6376,73.45,67,100,1.99,US,1681949083
281,kassala,15.451,36.4,80.42,31,0,7.99,SD,1681949083
282,gulu,2.7746,32.299,65.5,96,56,4.12,UG,1681949084
283,caravelas,-17.7125,-39.2481,80.37,85,52,7.92,BR,1681949033
284,kembe,4.6228,21.8865,74.35,67,73,1.99,CF,1681949084
285,tual,-5.6667,132.75,82.9,72,48,9.4,ID,1681949084
286,voyvozh,62.892,54.9635,32.2,94,100,4.9,RU,1681949084
287,kangasala,61.4638,24.076,43.02,60,51,4.41,FI,1681949085
288,zaqatala,41.6336,46.6433,50.47,87,40,4.61,AZ,1681949085
289,usinsk,65.9939,57.5281,28.63,94,100,12.62,RU,1681949085
290,strai,58.2,7.9,36.19,81,0,5.75,NO,1681949085
291,warkworth,-36.4,174.6667,73.49,83,90,12.28,NZ,1681949085
292,saint-pierre,-21.3393,55.4781,74.88,78,14,8.05,RE,1681949025
293,vardo,70.3705,31.1107,35.58,93,100,0.0,NO,1681949087
294,turukhansk,65.8167,87.9833,7.47,99,73,3.98,RU,1681949087
295,takoradi,4.8845,-1.7554,78.03,85,98,5.61,GH,1681949088
296,sampit,-2.5333,112.95,77.56,95,78,1.21,ID,1681949088
297,kamenka,51.3223,42.7678,44.92,55,87,9.42,RU,1681949088
298,urucara,-2.5364,-57.76,76.48,95,97,3.2,BR,1681949088
299,petaling jaya,3.1073,101.6067,79.18,91,20,2.3,MY,1681949088
300,dauphin,51.1494,-100.0502,30.34,93,100,18.41,CA,1681949089
301,yellowknife,62.456,-114.3525,41.56,42,20,10.36,CA,1681948924
302,shache,38.4167,77.2406,51.82,38,100,19.01,CN,1681949089
303,teya,60.3778,92.6267,9.01,96,98,3.33,RU,1681949089
304,neiafu,-18.65,-173.9833,84.88,84,75,8.05,TO,1681949089
305,korocha,50.8107,37.1953,45.32,81,100,16.6,RU,1681949090
306,okoneshnikovo,54.8377,75.0834,26.62,49,42,6.11,RU,1681949090
307,agadez,19.75,10.25,78.57,17,64,10.45,NE,1681949090
308,nhulunbuy,-12.2333,136.7667,83.19,74,61,12.37,AU,1681948879
309,anandnagar,27.1,83.2833,81.39,25,8,8.34,IN,1681949090
310,havre-saint-pierre,50.2334,-63.5986,37.76,93,100,3.44,CA,1681949091
311,filingue,14.3521,3.3168,88.79,14,84,7.38,NE,1681949091
312,voka,59.3997,27.5817,36.03,84,35,5.3,EE,1681949091
313,seydisehir,37.4193,31.8453,42.08,90,8,3.22,TR,1681949091
314,aracuai,-16.8497,-42.0703,79.03,61,56,1.99,BR,1681948909
315,brainerd,46.358,-94.2008,41.25,70,100,8.05,US,1681949092
316,puerto escondido,15.85,-97.0667,85.03,65,20,11.5,MX,1681949092
317,umm lajj,25.0213,37.2685,83.03,48,0,4.18,SA,1681949092
318,severo-kurilsk,50.6789,156.125,33.31,97,81,12.88,RU,1681949092
319,tiksi,71.6872,128.8694,-4.36,99,100,4.56,RU,1681949093
320,rehoboth,-23.3167,17.0833,65.07,66,83,2.64,NA,1681949093
321,arbagar,51.9438,116.2805,25.16,54,100,18.34,RU,1681949093
322,pacific grove,36.6177,-121.9166,64.87,64,13,8.99,US,1681948860
323,xining,36.6167,101.7667,41.23,39,77,4.16,CN,1681948814
324,omsukchan,62.5333,155.8,28.26,93,100,4.52,RU,1681949093
325,aranos,-24.1333,19.1167,67.3,56,52,7.36,NA,1681949094
326,kenai,60.5544,-151.2583,46.49,52,0,9.22,US,1681949094
327,samarai,-10.6167,150.6667,82.24,74,36,8.48,PG,1681949094
328,manta,-0.95,-80.7333,80.38,83,40,6.91,EC,1681949094
329,san patricio,28.017,-97.5169,79.16,76,69,14.9,US,1681949094
330,arlit,18.7369,7.3853,82.65,13,27,4.88,NE,1681948926
331,namibe,-15.1961,12.1522,77.29,74,73,4.34,AO,1681949095
332,cidreira,-30.1811,-50.2056,59.29,66,54,16.8,BR,1681948924
333,bedele,8.456,36.353,60.51,69,88,2.24,ET,1681949095
334,kalachinsk,55.0529,74.5751,26.62,53,38,5.88,RU,1681949095
335,naze,28.3667,129.4833,68.92,96,100,1.14,JP,1681949096
336,zhanakorgan,43.9098,67.2495,46.78,23,7,13.33,KZ,1681949096
337,avera,33.194,-82.5271,75.25,53,0,5.48,US,1681949096
338,dahuk,36.8695,42.994,64.08,45,78,4.36,IQ,1681949096
339,flin flon,54.7682,-101.865,29.17,88,100,11.05,CA,1681949097
340,jacareacanga,-6.2222,-57.7528,74.95,97,100,2.08,BR,1681949097
341,kem,64.9555,34.5793,34.11,99,100,7.85,RU,1681949097
342,sorland,67.667,12.6934,44.46,96,95,15.73,NO,1681949097
343,svidnik,49.3082,21.5703,46.9,94,92,6.46,SK,1681949097
344,puertollano,38.6871,-4.1073,54.95,44,57,3.13,ES,1681949097
345,itoman,26.1247,127.6694,77.38,94,75,13.8,JP,1681949098
346,gulabpura,25.9,74.6667,78.19,34,98,7.65,IN,1681949098
347,lata,40.1629,-8.3327,53.92,92,37,1.9,PT,1681949098
348,itupiranga,-5.1347,-49.3267,77.32,93,71,1.12,BR,1681949098
